id,current_price,market_cap,price_change_percentage_24h,high_24h,low_24h,ath,atl,time_stamp
bitcoin,109406.0,2175396502182,3.35939,109563.0,105402.0,111814.0,67.81,03-07-2025 00-49-17
ethereum,2578.33,310931790571,6.49373,2580.89,2393.31,4878.26,0.432979,03-07-2025 00-49-17
tether,1.0,157897192840,0.03132,1.0,1.0,1.32,0.572521,03-07-2025 00-49-17
ripple,2.25,132767218504,3.50093,2.27,2.15,3.4,0.00268621,03-07-2025 00-49-17
binancecoin,663.62,96814473661,2.84721,664.55,644.68,788.84,0.0398177,03-07-2025 00-49-17
solana,151.93,81225098039,3.6224,153.39,145.46,293.31,0.500801,03-07-2025 00-49-17
usd-coin,0.999806,61636718158,-0.00123,0.999925,0.999805,1.17,0.877647,03-07-2025 00-49-17
tron,0.28288,26823278953,1.45808,0.282976,0.278461,0.431288,0.00180434,03-07-2025 00-49-17
dogecoin,0.17143,25704215604,8.3311,0.172217,0.157198,0.731578,8.69e-05,03-07-2025 00-49-17
staked-ether,2576.99,23439490190,6.5726,2581.27,2392.04,4829.57,482.9,03-07-2025 00-49-17
cardano,0.594874,21506086742,9.88324,0.597622,0.537969,3.09,0.01925275,03-07-2025 00-49-17
wrapped-bitcoin,109279.0,14080067107,3.35988,109546.0,105239.0,111685.0,3139.17,03-07-2025 00-49-17
hyperliquid,39.05,13030460198,3.60923,39.65,36.88,45.57,3.81,03-07-2025 00-49-17
wrapped-steth,3109.49,10574894228,6.37858,3115.39,2878.25,7256.02,558.54,03-07-2025 00-49-17
sui,2.92,10108353814,9.04994,2.93,2.67,5.35,0.364846,03-07-2025 00-49-17
bitcoin-cash,505.53,10055321818,-2.42012,518.07,499.76,3785.82,76.93,03-07-2025 00-49-17
chainlink,13.76,9332112334,6.76607,13.76,12.81,52.7,0.148183,03-07-2025 00-49-17
leo-token,8.98,8288948641,0.83923,8.98,8.9,10.14,0.799859,03-07-2025 00-49-17
avalanche-2,18.67,7881241125,8.93539,18.76,17.0,144.96,2.8,03-07-2025 00-49-17
stellar,0.238051,7444571367,5.8257,0.239412,0.223395,0.875563,0.00047612,03-07-2025 00-49-17
usds,0.999809,7228905602,0.00237,0.999979,0.999654,1.057,0.948265,03-07-2025 00-49-17
the-open-network,2.87,7088776776,2.47541,2.89,2.76,8.25,0.519364,03-07-2025 00-49-17
shiba-inu,1.186e-05,6986397565,6.36036,1.197e-05,1.111e-05,8.616e-05,5.6366e-11,03-07-2025 00-49-17
